same,diff
108.23711,87.96643
112.89552,87.26924
88.96026,88.84514
107.078896,89.05742
106.51645,87.572014
110.94847,86.84309
101.79828,88.034805
97.90052,89.029724
107.73294,89.1516
104.35413,88.78819
114.46564,88.84082
101.978645,88.85125
96.2369,88.16504
128.5454,88.651215
97.28344,88.286705
99.79842,88.83733
103.54277,88.66453
79.285065,88.609055
112.29426,88.14309
111.12455,88.264145
104.82151,89.01515
95.300735,86.64324
98.84182,86.90183
116.96702,89.076515
102.73895,87.2603
112.1649,88.55759
93.22702,87.953354
114.06448,88.57828
115.67789,87.88236
88.81116,87.65054
103.64606,87.28762
105.299194,87.8906
122.89348,88.57802
112.84901,88.928314
118.10933,88.32557
97.67651,87.05058
107.654076,87.348526
102.771774,88.07497
116.462074,87.09924
110.508575,88.91776
87.4699,87.73501
120.871475,88.96822
109.89032,87.41336
105.34322,87.457306
126.89989,89.01518
102.52874,89.020164
110.87581,84.69066
103.45931,87.327095
113.92536,87.87851
110.42348,86.51344
123.23672,88.562805
85.20463,88.8036
114.77075,89.0913
102.92055,88.816284
107.19035,88.28742
114.85911,88.72713
98.414345,88.214806
103.5862,87.438034
119.21361,89.18024
90.105,88.64663
114.071,87.94968
104.00113,88.41001
110.89527,86.05572
96.9559,88.48719
104.00933,88.50154
93.96982,87.64985
97.20954,89.22685
108.11453,88.5354
93.11769,87.879036
107.38921,88.65489
111.755585,87.21549
105.79615,88.80363
114.409065,87.77803
97.674355,87.279945
100.9933,88.64424
99.73951,88.01038
118.77424,87.99999
106.02718,88.26422
115.955536,88.2311
107.25596,87.24174
114.10351,87.92558
100.79353,88.13275
110.36786,86.88342
94.9953,87.95551
110.50006,89.26522
112.94469,87.16137
123.89626,89.052185
95.81154,87.91477
115.03148,89.234436
107.15561,88.75327
104.16019,88.2609
87.68283,88.07301
101.454056,87.30733
112.47851,88.27353
119.54623,89.58559
100.64711,88.7773
118.31063,87.59193
110.417854,88.312584
92.23027,88.93778
107.71012,88.37909
126.50476,89.481575
108.13804,87.12388
108.060974,88.06993
117.37715,88.87232
103.66409,87.42483
116.225586,88.040855
118.09164,88.32896
116.51511,88.372444
99.22235,87.639885
94.68308,88.06891
105.79047,88.62406
107.27746,88.72508
111.59493,88.24656
94.53876,87.96541
110.562485,88.84119
113.69956,88.356384
99.80568,86.792336
109.34782,87.15846
118.70616,88.801
100.03807,87.997345
97.94396,88.81206
112.96818,88.83846
102.43507,88.59764
110.573364,88.96286
115.08486,88.17142
96.592804,86.50601
95.681,88.314514
111.410866,88.5605
93.947044,89.0582
99.72472,88.17554
115.66387,87.18886
123.25074,88.58917
113.87362,88.660194
105.25525,89.36833
118.57627,88.67681
123.28294,88.32894
111.81749,89.03835
123.99232,88.98905
106.92306,88.212906
96.508064,86.421234
122.30807,88.16067
108.12418,88.32749
110.44174,87.31608
