same,diff
8.45024,24.055096
22.868954,28.307903
17.906464,27.220589
14.71022,24.960003
25.200083,28.307878
20.82066,25.861452
32.759323,27.729855
14.814866,25.697098
18.514448,27.89709
18.550138,27.317696
19.312756,25.383425
15.373151,27.44174
27.590601,25.659843
19.735355,28.30802
16.934063,27.686966
13.530302,28.871258
16.929901,28.385422
13.777496,25.745106
12.398837,24.760447
22.058912,26.265255
14.891537,27.191593
16.840635,25.651396
20.841301,29.402954
16.021173,27.633963
15.279926,25.925245
12.7183275,25.715698
14.685924,26.393501
19.155304,26.644884
18.978827,24.578716
15.35684,25.67774
19.409063,27.251062
16.76919,25.741209
16.929092,25.992794
19.254461,27.525656
16.328169,23.731602
19.740778,27.562628
15.590963,28.584324
16.99146,23.645975
18.837782,24.320652
20.832785,25.81559
19.007235,25.24401
11.169465,27.915155
16.172495,25.765182
15.158384,23.542746
20.68959,27.130096
14.994056,26.207863
16.17937,26.563143
18.405483,26.769983
16.047266,26.589962
15.660827,27.179989
16.36675,26.934359
16.536,25.130362
14.757004,25.757723
21.57929,26.530111
18.804928,26.836494
18.351955,26.046396
17.07602,25.268604
16.106478,26.065449
15.757412,25.73121
14.471866,22.164907
16.494974,26.117899
18.685543,26.531116
14.548953,26.586983
19.77619,25.538097
16.877684,26.410067
13.4317,25.485285
16.826113,28.35661
19.478088,27.928493
16.795822,27.411392
15.222065,26.654634
18.445475,28.090155
17.693659,26.485895
13.201673,26.01596
17.232239,28.377748
18.673471,26.150505
18.733809,29.39038
17.74146,27.055115
15.736243,26.970936
16.31532,27.728502
19.043589,26.745026
14.258312,25.359058
16.076546,25.11127
15.942755,25.429945
15.942077,26.992985
17.602459,27.141544
10.6577015,25.799782
17.517172,25.655104
15.598918,26.031166
20.57205,26.608847
19.02231,19.959276
13.177796,25.851072
16.57621,28.203947
19.483536,26.480854
16.218851,24.313158
19.712185,26.487041
16.278498,26.90972
21.579762,27.530075
20.166338,25.700191
19.244045,26.341845
12.315922,25.351173
16.773369,26.719286
13.80494,24.578526
18.76118,25.43099
11.072083,27.328373
19.336517,24.601814
19.847366,26.109673
16.337347,27.17741
20.212645,25.478426
18.00541,24.01472
31.71188,25.894539
27.761492,26.22753
21.02013,24.507893
15.619588,25.757492
14.654367,24.817547
16.552277,25.565125
12.7352705,25.971704
14.921525,27.163336
22.750774,25.797516
19.578161,27.826733
14.925819,26.928356
15.113216,24.24208
22.746113,27.670635
20.905594,26.647543
16.091335,27.668749
29.259542,26.455605
17.06492,26.090742
18.144426,27.253283
17.334843,25.388382
20.128265,24.309267
18.651482,27.243849
12.894797,24.411757
20.827816,29.876217
31.678186,26.599924
14.183282,25.277756
18.753162,26.550089
18.755064,24.795652
15.639791,26.507883
30.91576,26.439528
13.832143,26.412943
10.109602,23.50475
21.668163,28.734432
11.894854,24.758493
16.280708,29.054865
24.720798,27.397354
16.600527,28.148592
12.7588215,24.033806
20.17936,26.16228
16.457846,26.640507
12.7813225,28.094181
13.806573,27.40339
22.43844,25.800041
15.939545,27.455868
18.790043,26.356375
19.18496,26.980309
21.287956,27.280066
15.989117,23.355097
17.207418,26.57009
16.053265,29.399021
21.192503,26.340567
19.428223,25.918499
14.335404,26.316595
20.48061,25.654324
18.414148,25.354753
17.425669,24.113792
18.794197,26.103186
16.347702,16.377636
18.310755,27.424814
22.042114,25.64743
11.868754,24.387123
21.757524,25.626383
21.551529,26.246033
30.112738,26.890797
21.927637,27.705826
24.954985,26.379286
18.603672,26.288166
30.293793,26.709936
18.174112,27.091507
18.934238,26.613707
21.512115,27.534893
20.346424,26.262386
18.792442,25.988997
16.612646,27.040964
19.152847,25.82609
19.705008,27.312225
17.877512,27.06807
16.536058,26.35831
19.32598,27.196894
17.46017,27.975924
15.176789,26.930592
14.156531,25.77592
15.947094,26.283695
16.67284,25.391083
16.666224,27.915154
18.571772,26.896801
14.356248,23.802994
15.309071,25.223583
12.447947,27.253149
12.323997,26.88101
20.593636,26.706417
19.513824,27.762121
15.264441,26.68149
13.281193,26.685028
17.449514,26.948751
14.465486,25.56352
18.124046,24.840504
21.773434,26.807505
19.422743,26.22869
22.414923,28.311893
24.91865,26.211493
8.451501,26.415295
21.145456,26.374336
17.161268,25.922245
17.941025,27.093035
19.798073,25.557867
18.768736,27.693346
21.747688,24.577194
20.750343,25.271513
22.947575,27.233456
19.419256,26.55448
14.698596,28.048237
17.898008,26.563627
20.348513,29.468344
15.008803,25.1517
20.158838,26.123896
15.964232,25.377825
16.489105,25.566996
19.806824,28.906107
21.648884,28.746431
16.676353,27.397415
13.318832,27.312477
21.13094,27.26848
19.18347,26.650038
17.437702,25.08553
15.837595,24.486155
19.254673,25.83646
14.999644,25.193573
18.133295,25.769737
20.150795,29.972069
11.977003,25.105875
16.606197,25.62161
13.814286,25.172918
18.656683,26.882286
15.724649,27.24032
15.353914,25.899036
13.895513,24.231945
16.021563,26.159645
23.526644,27.031044
23.086,27.292032
18.647474,28.158798
14.791178,24.28047
16.912886,27.201405
10.887006,25.751999
16.23572,24.615263
13.760876,27.425575
19.065638,24.652702
22.988146,27.67281
16.208586,24.572433
20.252542,27.169703
16.514088,26.778591
16.728352,27.299366
15.730221,25.725935
29.67392,19.094006
15.700401,24.409458
16.532969,24.273825
16.826618,25.84964
16.9496,26.139393
14.594446,26.940887
21.841768,25.044046
9.630809,26.401276
30.463285,22.654325
15.31852,25.15731
19.127304,24.7836
19.939714,26.405529
16.834583,26.926682
15.965364,25.617405
15.21133,26.827106
22.303215,27.488092
17.30783,24.67235
16.166595,26.466785
24.760221,27.883638
16.559017,26.076366
23.36145,28.89173
19.100052,25.37383
18.438158,27.676626
18.817377,26.87549
21.116388,29.144659
19.56062,26.407928
12.399442,25.193123
19.236418,26.300226
16.445961,25.558346
15.908559,27.871553
18.833027,26.283964
17.796663,24.136267
16.446999,26.564444
19.854685,27.738567
13.854618,26.273499
18.647648,24.870966
21.558706,29.432642
16.145252,25.061745
16.555302,25.725471
23.00996,27.001717
16.631346,26.050589
30.670134,27.035885
21.008425,28.251215
21.40236,28.033844
18.38128,24.729889
13.811919,26.325583
18.141167,28.843143
20.303442,28.470802
19.815653,27.85208
15.619803,27.066635
17.273209,26.710028
17.984362,27.083506
18.099924,26.886847
17.86546,25.605354
15.142901,25.012505
14.71646,25.591301
13.061296,23.374903
15.299864,25.689722
19.018347,27.563913
11.467557,24.168486
18.611034,26.717335
22.531254,28.79956
